Date,Close
1/4/2021,1728.24
1/5/2021,1740.92
1/6/2021,1735.29
1/7/2021,1787.25
1/8/2021,1807.21
1/11/2021,1766.72
1/12/2021,1746.55
1/13/2021,1754.4
1/14/2021,1740.18
1/15/2021,1736.19
1/19/2021,1790.86
1/20/2021,1886.9
1/21/2021,1891.25
1/22/2021,1901.05
1/25/2021,1899.4
1/26/2021,1917.24
1/27/2021,1830.79
1/28/2021,1863.11
1/29/2021,1835.74
2/1/2021,1901.35
2/2/2021,1927.51
2/3/2021,2070.07
2/4/2021,2062.37
2/5/2021,2098
2/8/2021,2092.91
2/9/2021,2083.51
2/10/2021,2095.38
2/11/2021,2095.89
2/12/2021,2104.11
2/16/2021,2121.9
2/17/2021,2128.31
2/18/2021,2117.2
2/19/2021,2101.14
2/22/2021,2064.88
2/23/2021,2070.86
2/24/2021,2095.17
2/25/2021,2031.36
2/26/2021,2036.86
3/1/2021,2081.51
3/2/2021,2075.84
3/3/2021,2026.71
3/4/2021,2049.09
3/5/2021,2108.54
3/8/2021,2024.17
3/9/2021,2052.7
3/10/2021,2055.03
3/11/2021,2114.77
3/12/2021,2061.92
3/15/2021,2066.49
3/16/2021,2092.52
3/17/2021,2091.08
3/18/2021,2036.22
3/19/2021,2043.2
3/22/2021,2038.59
3/23/2021,2052.96
3/24/2021,2045.06
3/25/2021,2044.36
3/26/2021,2035.55
3/29/2021,2055.95
3/30/2021,2055.54
3/31/2021,2068.63
4/1/2021,2137.75
4/5/2021,2225.55
4/6/2021,2224.75
4/7/2021,2249.68
4/8/2021,2265.44
4/9/2021,2285.88
4/12/2021,2254.79
4/13/2021,2267.27
4/14/2021,2254.84
4/15/2021,2296.66
4/16/2021,2297.76
4/19/2021,2302.4
4/20/2021,2293.63
4/21/2021,2293.29
4/22/2021,2267.92
4/23/2021,2315.3
4/26/2021,2326.74
4/27/2021,2307.12
4/28/2021,2379.91
4/29/2021,2429.89
4/30/2021,2410.12
5/3/2021,2395.17
5/4/2021,2354.25
5/5/2021,2356.74
5/6/2021,2381.35
5/7/2021,2398.69
5/10/2021,2341.66
5/11/2021,2308.76
5/12/2021,2239.08
5/13/2021,2261.97
5/14/2021,2316.16
5/17/2021,2321.41
5/18/2021,2303.43
5/19/2021,2308.71
5/20/2021,2356.09
5/21/2021,2345.1
5/24/2021,2406.67
5/25/2021,2409.07
5/26/2021,2433.53
5/27/2021,2402.51
5/28/2021,2411.56
6/1/2021,2429.81
6/2/2021,2421.28
6/3/2021,2404.61
6/4/2021,2451.76
6/7/2021,2466.09
6/8/2021,2482.85
6/9/2021,2491.4
6/10/2021,2521.6
6/11/2021,2513.93
6/14/2021,2527.04
6/15/2021,2520.66
6/16/2021,2513.93
6/17/2021,2527.42
6/18/2021,2511.35
6/21/2021,2529.1
6/22/2021,2539.99
6/23/2021,2529.23
6/24/2021,2545.64
6/25/2021,2539.9
6/28/2021,2536.39
6/29/2021,2520.37
6/30/2021,2506.32
7/1/2021,2527.37
7/2/2021,2574.38
7/6/2021,2595.42
7/7/2021,2601.55
7/8/2021,2583.54
7/9/2021,2591.49
7/12/2021,2611.28
7/13/2021,2619.89
7/14/2021,2641.65
7/15/2021,2625.33
7/16/2021,2636.91
7/19/2021,2585.08
7/20/2021,2622.03
7/21/2021,2652.01
7/22/2021,2666.57
7/23/2021,2756.32
7/26/2021,2792.89
7/27/2021,2735.93
7/28/2021,2727.63
7/29/2021,2730.81
7/30/2021,2704.42
8/2/2021,2719.79
8/3/2021,2725.6
8/4/2021,2720.57
8/5/2021,2738.8
8/6/2021,2740.72
8/9/2021,2760.04
8/10/2021,2761.93
8/11/2021,2753.79
8/12/2021,2767.79
8/13/2021,2768.12
8/16/2021,2778.32
8/17/2021,2746.01
8/18/2021,2731.4
8/19/2021,2738.27
8/20/2021,2768.74
8/23/2021,2821.99
8/24/2021,2847.97
8/25/2021,2859
8/26/2021,2842.46
8/27/2021,2891.01
8/30/2021,2909.39
8/31/2021,2909.24
9/1/2021,2916.84
9/2/2021,2884.38
9/3/2021,2895.5
9/7/2021,2910.38
9/8/2021,2897.67
9/9/2021,2898.27
9/10/2021,2838.42
9/13/2021,2869.3
9/14/2021,2868.12
9/15/2021,2904.12
9/16/2021,2887.47
9/17/2021,2829.27
9/20/2021,2780.34
9/21/2021,2792.93
9/22/2021,2818.77
9/23/2021,2836.53
9/24/2021,2852.66
9/27/2021,2830.02
9/28/2021,2723.68
9/29/2021,2690.42
9/30/2021,2665.31
10/1/2021,2729.25
10/4/2021,2675.3
10/5/2021,2723.54
10/6/2021,2747.08
10/7/2021,2783.71
10/8/2021,2801.12
10/11/2021,2776.95
10/12/2021,2734.26
10/13/2021,2758
10/14/2021,2828.24
10/15/2021,2833.5
10/18/2021,2859.21
10/19/2021,2876.44
10/20/2021,2848.3
10/21/2021,2855.61
10/22/2021,2772.5
10/25/2021,2775.46
10/26/2021,2793.44
10/27/2021,2928.55
10/28/2021,2922.58
10/29/2021,2965.41
11/1/2021,2875.48
11/2/2021,2917.26
11/3/2021,2935.8
11/4/2021,2973.66
11/5/2021,2984.82
11/8/2021,2987.03
11/9/2021,2984.97
11/10/2021,2932.52
11/11/2021,2934.96
11/12/2021,2992.91
11/15/2021,2987.76
11/16/2021,2981.52
11/17/2021,2981.24
11/18/2021,3014.18
11/19/2021,2999.05
11/22/2021,2941.57
11/23/2021,2935.14
11/24/2021,2934.35
11/26/2021,2856.12
11/29/2021,2922.28
11/30/2021,2849.04
12/1/2021,2832.36
12/2/2021,2875.53
12/3/2021,2850.41
12/6/2021,2875.93
12/7/2021,2960.73
12/8/2021,2974.41
12/9/2021,2962.12
12/10/2021,2973.5
12/13/2021,2934.09
12/14/2021,2899.41
12/15/2021,2947.37
12/16/2021,2896.77
12/17/2021,2856.06
12/20/2021,2848.03
12/21/2021,2884.41
12/22/2021,2938.98
12/23/2021,2942.85
12/27/2021,2961.28
12/28/2021,2928.96
12/29/2021,2930.09
12/30/2021,2920.05
12/31/2021,2893.59
1/3/2022,2901.49
1/4/2022,2888.33
1/5/2022,2753.07
1/6/2022,2751.02
1/7/2022,2740.09
1/10/2022,2771.48
1/11/2022,2800.35
1/12/2022,2832.96
1/13/2022,2782.62
1/14/2022,2795.73
1/18/2022,2725.81
1/19/2022,2713.04
1/20/2022,2670.13
1/21/2022,2601.84
1/24/2022,2607.44
1/25/2022,2534.71
1/26/2022,2584.8
1/27/2022,2582.42
1/28/2022,2665.79
1/31/2022,2713.97
2/1/2022,2757.57
2/2/2022,2960.73
2/3/2022,2853.01
2/4/2022,2860.32
