Date,Close
1/4/2021,1092.4
1/5/2021,1118.74
1/6/2021,1087.31
1/7/2021,1159.53
1/8/2021,1188.92
1/11/2021,1177.64
1/12/2021,1188.24
1/13/2021,1199.82
1/14/2021,1178.86
1/15/2021,1170.47
1/19/2021,1173.97
1/20/2021,1200.98
1/21/2021,1198.15
1/22/2021,1196.7
1/25/2021,1205.92
1/26/2021,1159.77
1/27/2021,1092.08
1/28/2021,1120.57
1/29/2021,1098.59
2/1/2021,1144.93
2/2/2021,1235.35
2/3/2021,1224.16
2/4/2021,1260.87
2/5/2021,1287.75
2/8/2021,1345.09
2/9/2021,1432.99
2/10/2021,1462.42
2/11/2021,1463.31
2/12/2021,1455.49
2/16/2021,1474
2/17/2021,1425
2/18/2021,1384.57
2/19/2021,1435.01
2/22/2021,1381.3
2/23/2021,1300.24
2/24/2021,1301.15
2/25/2021,1245.1
2/26/2021,1280.97
3/1/2021,1309.94
3/2/2021,1309.06
3/3/2021,1220.3
3/4/2021,1149.44
3/5/2021,1131.01
3/8/2021,1072.43
3/9/2021,1130.74
3/10/2021,1087.9
3/11/2021,1142.24
3/12/2021,1140.63
3/15/2021,1159
3/16/2021,1143.17
3/17/2021,1169.17
3/18/2021,1117.1
3/19/2021,1120.95
3/22/2021,1160
3/23/2021,1162
3/24/2021,1106.01
3/25/2021,1061.68
3/26/2021,1065.21
3/29/2021,1039.91
3/30/2021,1048.68
3/31/2021,1106.5
4/1/2021,1155.41
4/5/2021,1145.95
4/6/2021,1156.14
4/7/2021,1159.47
4/8/2021,1222.69
4/9/2021,1227.3
4/12/2021,1202
4/13/2021,1241.54
4/14/2021,1179.86
4/15/2021,1208.34
4/16/2021,1207.8
4/19/2021,1145.78
4/20/2021,1123.01
4/21/2021,1142.06
4/22/2021,1096.64
4/23/2021,1099.03
4/26/2021,1166
4/27/2021,1156.89
4/28/2021,1288.8
4/29/2021,1233.07
4/30/2021,1182.51
5/3/2021,1122.01
5/4/2021,1142.94
5/5/2021,1120.35
5/6/2021,1090.93
5/7/2021,1108.6
5/10/2021,1080.24
5/11/2021,1110.2
5/12/2021,1083.9
5/13/2021,1047.77
5/14/2021,1085.01
5/17/2021,1096.39
5/18/2021,1133.36
5/19/2021,1170.39
5/20/2021,1214.9
5/21/2021,1224.12
5/24/2021,1261.43
5/25/2021,1240
5/26/2021,1238.83
5/27/2021,1240.84
5/28/2021,1242.87
6/1/2021,1251.56
6/2/2021,1229.59
6/3/2021,1199
6/4/2021,1205.74
6/7/2021,1230.55
6/8/2021,1230.74
6/9/2021,1215.56
6/10/2021,1231.1
6/11/2021,1247.02
6/14/2021,1306.64
6/15/2021,1321.08
6/16/2021,1366.3
6/17/2021,1449.27
6/18/2021,1466.87
6/21/2021,1480.23
6/22/2021,1508.44
6/23/2021,1500.53
6/24/2021,1478.99
6/25/2021,1473.54
6/28/2021,1494.99
6/29/2021,1482.99
6/30/2021,1460.98
7/1/2021,1458
7/2/2021,1464.75
7/6/2021,1538.03
7/7/2021,1520.22
7/8/2021,1463.34
7/9/2021,1494.99
7/12/2021,1494.74
7/13/2021,1516.47
7/14/2021,1463
7/15/2021,1441.5
7/16/2021,1442.63
7/19/2021,1472.01
7/20/2021,1524.78
7/21/2021,1569.36
7/22/2021,1594.09
7/23/2021,1643.32
7/26/2021,1582.28
7/27/2021,1555.1
7/28/2021,1538
7/29/2021,1525
7/30/2021,1499.93
8/2/2021,1538.67
8/3/2021,1522.56
8/4/2021,1555.52
8/5/2021,1545.55
8/6/2021,1525.06
8/9/2021,1549.99
8/10/2021,1525.94
8/11/2021,1485.23
8/12/2021,1503.2
8/13/2021,1498
8/16/2021,1489
8/17/2021,1481.87
8/18/2021,1489.18
8/19/2021,1466.11
8/20/2021,1450.7
8/23/2021,1481.41
8/24/2021,1538.51
8/25/2021,1552.24
8/26/2021,1515.58
8/27/2021,1531.42
8/30/2021,1549
8/31/2021,1524.78
9/1/2021,1539.03
9/2/2021,1542.6
9/3/2021,1554.25
9/7/2021,1536.7
9/8/2021,1477.81
9/9/2021,1504.08
9/10/2021,1484.1
9/13/2021,1476.87
9/14/2021,1451.28
9/15/2021,1474.94
9/16/2021,1475.97
9/17/2021,1486.29
9/20/2021,1434.53
9/21/2021,1437.15
9/22/2021,1465.9
9/23/2021,1476.6
9/24/2021,1444
9/27/2021,1443.81
9/28/2021,1369.31
9/29/2021,1346.55
9/30/2021,1355.78
10/1/2021,1350.76
10/4/2021,1314.9
10/5/2021,1318.08
10/6/2021,1349.88
10/7/2021,1398.5
10/8/2021,1378.03
10/11/2021,1357.01
10/12/2021,1357.22
10/13/2021,1398.97
10/14/2021,1406.75
10/15/2021,1424.58
10/18/2021,1465.11
10/19/2021,1485.74
10/20/2021,1487.47
10/21/2021,1496.71
10/22/2021,1425.85
10/25/2021,1425.16
10/26/2021,1363.7
10/27/2021,1361.12
10/28/2021,1457
10/29/2021,1466.73
11/1/2021,1527.62
11/2/2021,1476.64
11/3/2021,1495.34
11/4/2021,1540.56
11/5/2021,1528.06
11/8/2021,1533.77
11/9/2021,1554.85
11/10/2021,1474
11/11/2021,1490.34
11/12/2021,1669.52
11/15/2021,1656.5
11/16/2021,1675.32
11/17/2021,1637.81
11/18/2021,1681.3
11/19/2021,1690.6
11/22/2021,1595.01
11/23/2021,1573.06
11/24/2021,1628.7
11/26/2021,1576.7
11/29/2021,1567.02
11/30/2021,1521.79
12/1/2021,1459.71
12/2/2021,1447.15
12/3/2021,1410
12/6/2021,1428.12
12/7/2021,1520.51
12/8/2021,1520.29
12/9/2021,1494.95
12/10/2021,1461.58
12/13/2021,1397.15
12/14/2021,1354.28
12/15/2021,1368.08
12/16/2021,1326.88
12/17/2021,1323.4
12/20/2021,1282.17
12/21/2021,1370.11
12/22/2021,1385.63
12/23/2021,1439.33
12/27/2021,1400.59
12/28/2021,1375.62
12/29/2021,1392.08
12/30/2021,1398.24
12/31/2021,1377.39
1/3/2022,1363.14
1/4/2022,1221.86
1/5/2022,1190.01
1/6/2022,1168.93
1/7/2022,1144.48
1/10/2022,1131.17
1/11/2022,1157.31
1/12/2022,1168.76
1/13/2022,1064.36
1/14/2022,1102.91
1/18/2022,1054.66
1/19/2022,1030.95
1/20/2022,1023.95
1/21/2022,882.12
1/24/2022,938.49
1/25/2022,892.39
1/26/2022,868.92
1/27/2022,815.76
1/28/2022,872.23
1/31/2022,964.24
2/1/2022,984.2
2/2/2022,885.88
2/3/2022,809.44
2/4/2022,876
2/7/2022,866.89
2/8/2022,878
2/9/2022,924.97
2/10/2022,893.34
2/11/2022,854
2/14/2022,847.45
2/15/2022,889.5
2/16/2022,746.85
2/17/2022,660
2/18/2022,656.88
2/22/2022,626.16
2/23/2022,626.61
2/24/2022,663.98
2/25/2022,676.95
2/28/2022,694.26
3/1/2022,673.44
3/2/2022,659.83
3/3/2022,640.75
3/4/2022,600.84
3/7/2022,560.8
3/8/2022,514.95
3/9/2022,587.65
3/10/2022,553.18
3/11/2022,544.37
3/14/2022,512.55
3/15/2022,553.43
3/16/2022,622.38
3/17/2022,657.38
3/18/2022,780
3/21/2022,683.45
3/22/2022,727.01
3/23/2022,703.59
3/24/2022,705
3/25/2022,679.53
3/28/2022,701.6
3/29/2022,743.98
3/30/2022,705.6
3/31/2022,675.96
4/1/2022,693
4/4/2022,727.29
4/5/2022,702.92
4/6/2022,656.58
4/7/2022,643.97
4/8/2022,603.18
4/11/2022,617.38
4/12/2022,591.06
4/13/2022,604.78
4/14/2022,579.51
4/18/2022,581
4/19/2022,605.63
4/20/2022,525
4/21/2022,481
4/22/2022,459.97
4/25/2022,459.21
4/26/2022,428.09
4/27/2022,416.2
4/28/2022,443.28
4/29/2022,426.82
5/2/2022,452.98
5/3/2022,465.2
5/4/2022,485.49
5/5/2022,413.09
5/6/2022,377.49
5/9/2022,340.04
5/10/2022,335.39
5/11/2022,318.59
5/12/2022,353.51
5/13/2022,402.48
5/16/2022,359.95
5/17/2022,372.64
5/18/2022,360.62
5/19/2022,391.33
5/20/2022,363.85
5/23/2022,368.49
5/24/2022,324.84
5/25/2022,333.11
5/26/2022,351.32
5/27/2022,369.04
5/31/2022,375.12
6/1/2022,361.53
6/2/2022,398.87
6/3/2022,353.66
6/6/2022,360.62
6/7/2022,380.74
6/8/2022,391.47
6/9/2022,371.39
6/10/2022,348.43
6/13/2022,312.94
6/14/2022,303.54
6/15/2022,326.03
6/16/2022,305.23
6/17/2022,316.89
